,watch-title,y,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0,proba
819,"Kaggle Days Madrid Meetup #1 - ""Cómo llegar a número 1 en Kaggle"" - José Antonio Guerrero 1/2 (ES)",,604 visualizações,Publicado em 15 de nov. de 2018,Pessoas e blogs,"Kaggle Days Madrid Meetup #1 - ""Cómo llegar a número 1 en Kaggle"" - José Antonio Guerrero 1/2 (ES)","LogicAI













Carregando...
    







        Cancelar inscrição de LogicAI?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição641 











Carregando...
    









Carregando...
    













        Processando...","604 visualizações







21

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



22


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/hJL9jXe1FlI/maxresdefault.jpg,1280.0,720.0,"During the first Kaggle Days Meetup Madrid, we had the pleasure to hear Jose Antonio Guerrero (Kaggle Grandmaster and former #1 at Kaggle) talk about useful ...",1280.0,720.0,meetup,/channel/UCZ_qlZbg9EzwRnLq_hFQumQ,0.418
824,"Workshop on Machine Learning at Hasanuddin University Indonesia, Lecturer Prof. Zohar Nussinov",,21 visualizações,Publicado em 25 de nov. de 2019,Pessoas e blogs,"Workshop on Machine Learning at Hasanuddin University Indonesia, Lecturer Prof. Zohar Nussinov","WCP Unhas













Carregando...
    







        Cancelar inscrição de WCP Unhas?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição0 











Carregando...
    









Carregando...
    













        Processando...","21 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/hdoxkcsw0tU/hqdefault.jpg,480.0,360.0,"Part one of workshop on machine learning for computational based research in science, held in the Department of Physics Hasanuddin Unversity, 18-19 Sept 2019...",640.0,360.0,Machine LEarning,/channel/UCKdHuL3xvwXpqRSBy6F3VaA,0.304
846,Kaggle Live-Coding: Graphing entity co-occurrence in online rumors | Kaggle,,448 visualizações,Transmitido ao vivo em 3 de ago. de 2018,Ciência e tecnologia,Kaggle Live-Coding: Graphing entity co-occurrence in online rumors | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","448 visualizações







11

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



12


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/iz-OrQLIlaI/maxresdefault.jpg,1280.0,720.0,Join Kaggle data scientist Rachael live as she works on data science projects! See all previous livestreams here: https://www.youtube.com/watch?v=i92VI289zWw...,1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.85
857,"SQL Summer Camp: Order By, Extract and Dates | Kaggle",,3.075 visualizações,Transmitido ao vivo em 16 de jul. de 2019,Ciência e tecnologia,"SQL Summer Camp: Order By, Extract and Dates | Kaggle","Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","3.075 visualizações







88

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



89


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/jEdgQ-RVmXw/hqdefault.jpg,480.0,360.0,"Today we'll learn how to sort the results we get from our database, as well as how to deal with dates and get certain pieces of information (like day of the ...",1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.282
862,Kaggle Reading Group: Multi-Task Deep Neural Networks for Natural Language Understanding | Kaggle,,1.667 visualizações,Transmitido ao vivo em 1 de mai. de 2019,Ciência e tecnologia,Kaggle Reading Group: Multi-Task Deep Neural Networks for Natural Language Understanding | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.667 visualizações







59

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



60


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/jLrcM-kAo34/hqdefault.jpg,480.0,360.0,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Multi-Task Deep Neural Networks for Natural Language Understanding "" ...",1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.378
869,Kaggle Reading Group: Generating Long Sequences with Sparse Transformers | Kaggle,,1.056 visualizações,Transmitido ao vivo em 22 de mai. de 2019,Ciência e tecnologia,Kaggle Reading Group: Generating Long Sequences with Sparse Transformers | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.056 visualizações







45

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



46


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/jaqjcHmCBfY/hqdefault.jpg,480.0,360.0,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Generating Long Sequences with Sparse Transformers"" (Child et al, unp...",1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.39
871,Kaggle Days Meetup Madrid #3 Round table - Microsoft Malware Prediction gold winners (2/2) ESP/ENG,,127 visualizações,Publicado em 25 de jun. de 2019,Pessoas e blogs,Kaggle Days Meetup Madrid #3 Round table - Microsoft Malware Prediction gold winners (2/2) ESP/ENG,"LogicAI













Carregando...
    







        Cancelar inscrição de LogicAI?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição641 











Carregando...
    









Carregando...
    













        Processando...","127 visualizações







3

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/jch8LrZpOKY/hqdefault.jpg,480.0,360.0,"We've met at Kaggle Days Meetup Madrid for the 3rd time already. At this meetup, during the first part, Kaggle Grandmaster Alberto Danese talked about Gradie...",1280.0,720.0,datascience,/channel/UCZ_qlZbg9EzwRnLq_hFQumQ,0.481
898,Kaggle Reading Group: Probing Neural Network Comprehension of Natural Language Arguments | Kaggle,,1.622 visualizações,Transmitido ao vivo em 21 de ago. de 2019,Ciência e tecnologia,Kaggle Reading Group: Probing Neural Network Comprehension of Natural Language Arguments | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.622 visualizações







49

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



50


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/ks8Cz1qx2rE/hqdefault.jpg,480.0,360.0,BERT (which we read the paper for earlier) has had really impressive success on a number of NLP tasks... but how well is it really capturing the structures o...,1280.0,720.0,formal logic,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.363
904,Kaggle Meetup: AdTracking Fraud Detection,,372 visualizações,Publicado em 1 de jun. de 2018,Ciência e tecnologia,Kaggle Meetup: AdTracking Fraud Detection,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","372 visualizações







11

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



12


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/kzkQTPeZPQ4/maxresdefault.jpg,1280.0,720.0,https://www.meetup.com/LearnDataScience/events/250901341/,1280.0,720.0,,/channel/UCJhW_16uxALr0X4olEW2p5A,0.564
908,Kaggle Meetup: Quora Insincere Questions Classification,,399 visualizações,Publicado em 8 de mar. de 2019,Ciência e tecnologia,Kaggle Meetup: Quora Insincere Questions Classification,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","399 visualizações







7

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



8


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/l7ZmviwSnXw/maxresdefault.jpg,1280.0,720.0,Kaggle page: https://www.kaggle.com/c/quora-insincere-questions-classification Meetup page: https://www.meetup.com/LearnDataScience/events/fbczqqyzfbkb/ Slid...,1280.0,720.0,artificial intelligence,/channel/UCJhW_16uxALr0X4olEW2p5A,0.551
915,Reinforcement Learning 10: Classic Games Case Study,,16.675 visualizações,Publicado em 23 de nov. de 2018,Ciência e tecnologia,Reinforcement Learning 10: Classic Games Case Study,"DeepMind













Carregando...
    







        Cancelar inscrição de DeepMind?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição166 mil 











Carregando...
    









Carregando...
    













        Processando...","16.675 visualizações







203

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



204


2

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3",https://i.ytimg.com/vi/ld28AU7DDB4/maxresdefault.jpg,1280.0,720.0, ,1280.0,720.0,,/channel/UCP7jMXSY2xbc3KCAE0MHQ-A,0.283
919,Kaggle Days Meetup Milan #1,,243 visualizações,Publicado em 22 de mai. de 2019,Pessoas e blogs,Kaggle Days Meetup Milan #1,"LogicAI













Carregando...
    







        Cancelar inscrição de LogicAI?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição641 











Carregando...
    









Carregando...
    













        Processando...","243 visualizações







7

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



8


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/lkZET6thmLk/hqdefault.jpg,480.0,360.0,15th of March had a place the first ever Kaggle Days Meetup in Milan. We had a chance to hear two great talks prepared by Kaggle Grandmasters: Abhishek Thaku...,1280.0,720.0,,/channel/UCZ_qlZbg9EzwRnLq_hFQumQ,0.672
923,Shri Debasish Sen at 7th International Data Science Summit,,5 visualizações,Publicado em 23 de nov. de 2019,Ciência e tecnologia,Shri Debasish Sen at 7th International Data Science Summit,"Data Science Foundation













Carregando...
    







        Cancelar inscrição de Data Science Foundation?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição345 











Carregando...
    









Carregando...
    













        Processando...","5 visualizações




Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login








Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login",https://i.ytimg.com/vi/m0NTnHGSfkA/maxresdefault.jpg,1280.0,720.0,Shri Debasish Sen at 7th International Data Science Summit,1280.0,720.0,Data Science in Govt,/channel/UCgURMi5Be6B6AOrgXuOnctQ,0.482
937,hydrosphere.io 2m demo - machine learning model deploy and monitor,,2.129 visualizações,Publicado em 14 de jun. de 2018,Ciência e tecnologia,hydrosphere.io 2m demo - machine learning model deploy and monitor,"Hydrosphere io













Carregando...
    







        Cancelar inscrição de Hydrosphere io?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 











Carregando...
    









Carregando...
    













        Processando...","2.129 visualizações







4

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



5


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/m_Fb540LZTU/maxresdefault.jpg,1280.0,720.0,hydrosphere.io 2m demo - machine learning model deploy and monitor https://github.com/Hydrospheredata/,1280.0,720.0,Data Science,/channel/UC6t9FhE1WvUV8o9f6oThdeg,0.307
938,Kaggle Meetup: Skin Cancer Diagnosis,,663 visualizações,Publicado em 5 de out. de 2018,Ciência e tecnologia,Kaggle Meetup: Skin Cancer Diagnosis,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","663 visualizações







22

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



23


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/meg8I1GdtUg/maxresdefault.jpg,1280.0,720.0,Video from this meetup: https://www.meetup.com/LearnDataScience/events/wdlntpyxnbgb/ Slides are here: https://docs.google.com/presentation/d/1Lup8MnuOkVakDL5...,1280.0,720.0,machine learning,/channel/UCJhW_16uxALr0X4olEW2p5A,0.56
982,Powered by TensorFlow: utilizing deep learning to better predict extreme weather,,18.333 visualizações,Publicado em 7 de mar. de 2019,Ciência e tecnologia,"#TFDevSummit #PoweredByTF



    Powered by TensorFlow: utilizing deep learning to better predict extreme weather","TensorFlow













Carregando...
    







        Cancelar inscrição de TensorFlow?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição180 mil 











Carregando...
    









Carregando...
    













        Processando...","18.333 visualizações







187

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



188


4

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



5",https://i.ytimg.com/vi/p45kQklIsd4/maxresdefault.jpg,1280.0,720.0,"Machine learning is helping to solve challenging, real-world problems around the world. See how a team of engineers and researchers at NERSC (National Energy...",1280.0,720.0,tensorflow business,/channel/UC0rqucBdTuFTjJiefW5t-IQ,0.274
985,Business Understanding - Data Science Methodology by IBM #2,,867 visualizações,Publicado em 25 de mar. de 2019,Educação,Business Understanding - Data Science Methodology by IBM #2,"Coursera














Carregando...
    







        Cancelar inscrição de Coursera?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição128 mil 











Carregando...
    









Carregando...
    













        Processando...","867 visualizações







5

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



6


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/pBgLNb5SzVY/maxresdefault.jpg,1280.0,720.0,"This video is part of an online course, Data Science Methodology, created by IBM. Enroll today at https://www.coursera.org/learn/data-science-methodology?utm...",1280.0,720.0,IBM,/channel/UCZ50rYSkYQG31YDEJm9Di_g,0.297
992,Santander Kaggle by Natrayan Velu (8/22/2018),,456 visualizações,Publicado em 23 de ago. de 2018,Ciência e tecnologia,Santander Kaggle by Natrayan Velu (8/22/2018),"Cleveland R User Group













Carregando...
    







        Cancelar inscrição de Cleveland R User Group?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição154 











Carregando...
    









Carregando...
    













        Processando...","456 visualizações







12

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



13


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/pkdX4emqYys/maxresdefault.jpg,1280.0,720.0,Natrayan Velu discusses learning machine learning while working on the Santander contest from Kaggle.,1280.0,720.0,kaggle,/channel/UC7C4YZ-9itQW7Nl4RVKDflg,0.346
1002,How Publishers Can Take Advantage of Machine Learning (Cloud Next '18),,1.007 visualizações,Publicado em 26 de jul. de 2018,Ciência e tecnologia,How Publishers Can Take Advantage of Machine Learning (Cloud Next '18),"Google Cloud Platform













Carregando...
    







        Cancelar inscrição de Google Cloud Platform?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição400 mil 











Carregando...
    









Carregando...
    













        Processando...","1.007 visualizações







19

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



20


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/qK6x-vPEmRw/maxresdefault.jpg,1280.0,720.0,Hearst Newspapers uses Google Cloud Machine Learning infrastructure to automate and create value in the newspaper business. A recent case study has been publ...,1280.0,720.0,Cloud ML,/channel/UCJS9pqu9BzkAMNTmzNMNhvg,0.335
1007,Kaggle Reading Group: Deep Learning for Symbolic Mathematics,,1.532 visualizações,Transmitido ao vivo em 2 de out. de 2019,Ciência e tecnologia,Kaggle Reading Group: Deep Learning for Symbolic Mathematics,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.532 visualizações







55

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



56


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/q_cMExRsJl8/hqdefault.jpg,480.0,360.0,"This week we start in on ""Deep Learning for Symbolic Mathematics"", (anonymous, submitted to ICLR 2020). You can find a link to the paper here: https://openre...",1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.388
1021,Kaggle Reading Group: Weight Agnostic Neural Networks | Kaggle,,1.577 visualizações,Transmitido ao vivo em 11 de set. de 2019,Ciência e tecnologia,Kaggle Reading Group: Weight Agnostic Neural Networks | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.577 visualizações







51

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



52


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/rEKtmUS3WIU/hqdefault.jpg,480.0,360.0,"Today we're starting the paper ""Weight Agnostic Neural Networks"" by Gaier & Ha from NeurIPS 2019. Link to paper: https://arxiv.org/pdf/1906.04358.pdf SUBSCRI...",1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.419
1032,Everyone Leaks (and why that's a good thing) | by Michael Kim | Kaggle Days SF,,445 visualizações,Publicado em 16 de mai. de 2019,Ciência e tecnologia,Everyone Leaks (and why that's a good thing) | by Michael Kim | Kaggle Days SF,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","445 visualizações







7

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



8


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/rrWmmqAt6Ts/maxresdefault.jpg,1280.0,720.0,"Michael Kim ""Everyone Leaks (and why that's a good thing)"" Kaggle Days San Francisco held in April 2019 gathered over 300 participants to meet, learn and cod...",1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.394
1044,Kaggle Reading Group: Generating Long Sequences with Sparse Transformers (Part 2) | Kaggle,,637 visualizações,Transmitido ao vivo em 29 de mai. de 2019,Ciência e tecnologia,Kaggle Reading Group: Generating Long Sequences with Sparse Transformers (Part 2) | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","637 visualizações







18

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



19


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/se4ZM0es924/maxresdefault.jpg,1280.0,720.0,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Generating Long Sequences with Sparse Transformers"" (Child et al, unp...",1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.309
1059,Kaggle Meetup: Freesound Audio Tagging 2019,,167 visualizações,Publicado em 10 de ago. de 2019,Ciência e tecnologia,"VentureLabs



    Kaggle Meetup: Freesound Audio Tagging 2019","Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","167 visualizações







1

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/tEe-w86R23E/maxresdefault.jpg,1280.0,720.0,Presenter: Keagan O'Donohue Kaggle page: https://www.kaggle.com/c/freesound-audio-tagging-2019 Meetup page: https://www.meetup.com/LearnDataScience/events/fb...,1280.0,720.0,kaggle,/channel/UCJhW_16uxALr0X4olEW2p5A,0.548
1064,Powered by TensorFlow: Airbnb uses machine learning to help categorize its listing photos,,53.107 visualizações,Publicado em 6 de mar. de 2019,Ciência e tecnologia,"#TFDevSummit #PoweredByTF



    Powered by TensorFlow: Airbnb uses machine learning to help categorize its listing photos","TensorFlow













Carregando...
    







        Cancelar inscrição de TensorFlow?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição180 mil 











Carregando...
    









Carregando...
    













        Processando...","53.107 visualizações







777

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



778


9

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



10",https://i.ytimg.com/vi/tPb2u9kwh2w/maxresdefault.jpg,1280.0,720.0,"Machine learning is helping to solve challenging, real-world problems around the world. See how Airbnb (www.airbnb.com) is using machine learning powered by ...",1280.0,720.0,TensorFlow dev summit,/channel/UC0rqucBdTuFTjJiefW5t-IQ,0.383
1067,Python Toolkit that Used for Two Kaggle Top 10% Leaderboard Finishes,,3.722 visualizações,Publicado em 14 de jan. de 2019,Ciência e tecnologia,Python Toolkit that Used for Two Kaggle Top 10% Leaderboard Finishes,"Jeff Heaton













Carregando...
    







        Cancelar inscrição de Jeff Heaton?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição22,1 mil 











Carregando...
    









Carregando...
    













        Processando...","3.722 visualizações







102

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



103


4

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



5",https://i.ytimg.com/vi/tSzrecBdyJc/maxresdefault.jpg,1280.0,720.0,"This is the set of common tools that I've used in Kaggles to place around 7-10% on the leaderboard. Templates are provided for feature engineering, preproces...",480.0,360.0,preprocessing,/channel/UCR1-GEpyOPzT2AO4D_eifdw,0.407
1084,Kaggle Meetup: Visual Relationship Challenge,,104 visualizações,Publicado em 6 de dez. de 2018,Ciência e tecnologia,Kaggle Meetup: Visual Relationship Challenge,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","104 visualizações







3

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/uBVY-g3ZXUk/maxresdefault.jpg,1280.0,720.0,Kaggle page: https://www.kaggle.com/c/google-ai-open-images-visual-relationship-track Meetup page: https://www.meetup.com/LearnDataScience/events/252908686/ ...,1280.0,720.0,artificial intelligence,/channel/UCJhW_16uxALr0X4olEW2p5A,0.558
1100,Kaggle Reading Group: Dissecting contextual word embeddings (Part 4) | Kaggle,,1.013 visualizações,Transmitido ao vivo em 24 de abr. de 2019,Ciência e tecnologia,Kaggle Reading Group: Dissecting contextual word embeddings (Part 4) | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.013 visualizações







29

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



30


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/upzybyzUDGk/hqdefault.jpg,480.0,360.0,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Dissecting contextual word embeddings: Architecture and representatio...",1280.0,720.0,statistics,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.494
1101,NEW !! Machine Learning model for separating VOCAL & Music,,79 visualizações,Publicado em 23 de nov. de 2019,Licença de atribuição Creative Commons (reutilização permitida),NEW !! Machine Learning model for separating VOCAL & Music,"Prerak's Techworld













Carregando...
    







        Cancelar inscrição de Prerak's Techworld?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,31 mil 











Carregando...
    









Carregando...
    













        Processando...","79 visualizações







9

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



10


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/uu5WCD_BE3k/maxresdefault.jpg,1280.0,720.0,"Dear Friends, to help the research community in Music Information Retrieval (MIR) leverage the power of a state-of-the-art source separation algorithm. It co...",1280.0,720.0,simple machine learning projects python,/channel/UCyprjB3xDT8GANChFTxKBQw,0.271
1102,Kaggle Live-Coding: How to turn text into structured data for NLP | Kaggle,,1.155 visualizações,Transmitido ao vivo em 5 de out. de 2018,Ciência e tecnologia,Kaggle Live-Coding: How to turn text into structured data for NLP | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.155 visualizações







46

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



47


6

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



7",https://i.ytimg.com/vi/uvCS_lfxFWI/maxresdefault.jpg,1280.0,720.0,Join Kaggle data scientist Rachael live as she works on data science projects! See all previous livestreams here: https://www.youtube.com/watch?v=i92VI289zWw...,1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.279
